nombre,categoria,descripcion,precio,imagenes,medida,NOMBRE FOTO
"""Caño PVC 110 liviano1.8mm Nicoll ""","""PVC""","""Caño pvc 110 x 1.8mm 3 o 6 metros de largo.
Caño de PVC liviano, indicado para instalaciones sanitarias de uso doméstico y desagües internos, donde no se requiere alta carga estructural. Fabricado con espesor de 1.8 mm, es liviano, fácil de manipular y de rápida instalación, manteniendo buena resistencia frente a la humedad y la corrosión.
CONTAMOS CON TODA LA LINEA DOMICILIARIA (40mm,50mm,63mm,110mm) Y ACCESORIOS PARA SU INSTALACIÓN!

✔ Ideal para instalaciones domiciliarias
✔ Uso en desagües cloacales y pluviales
✔ Superficie interna lisa: mejor escurrimiento
✔ Larga vida útil y fácil instalación""","""NULL""","""1""","""3-o-6-mts""","""FOTO 4.webp"""
"""Caño termofusión aprobado pn 20 20mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 20 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 25mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 25 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 32mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 32 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 40mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 40 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 50mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 50 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 63mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 63 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 75mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 75 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño termofusión aprobado pn 20 90mm""","""Termofusion""","Caño de termofusión aprobado PN 20, diámetro 90 mm, fabricado en polipropileno (PP-R) de alta calidad, apto para instalaciones de agua fría y caliente.
Diseñado para soportar altas presiones y temperaturas, garantiza uniones herméticas, seguras y duraderas mediante sistema de termofusión.
Se presenta en barras de 4 metros de largo, siendo ideal para instalaciones domiciliarias e industriales, con larga vida útil, alta resistencia a la corrosión y excelente desempeño en redes de distribución de agua.

CONTAMOS CON TODA LA LINEA(20mm,25mm,32mm,40mm,50mm, 63mm, 75mm, 90mm) Y ACCESORIOS PARA SU INSTALACIÓN!","""NULL""","""1""","""4-mts""","""FOTO 5.webp"""
"""Caño polipropileno aprobado 1/2""","""Polipropileno""","Caño de polipropileno aprobado, diámetro 1/2"", fabricado en material de alta calidad, apto para instalaciones de agua fría y caliente.
Ofrece excelente resistencia a la presión, la corrosión y las altas temperaturas, garantizando un desempeño seguro y duradero. 
Ideal para instalaciones domiciliarias e industriales, es de fácil instalación, bajo mantenimiento y larga vida útil, asegurando un correcto funcionamiento de la red de distribución de agua.

CONTAMOS CON TODA LA LINEA(1/2"", 3/4"", 1"") Y ACCESORIOS PARA SU INSTALACIÓN!
POR MEDIDAS SUPERIORES CONSULTAR.","""NULL""","""1""","""6-mts""","""FOTO 6.webp"""
"""Caño polipropileno aprobado 3/4""","""Polipropileno""","Caño de polipropileno aprobado, diámetro 3/4"", fabricado en material de alta calidad, apto para instalaciones de agua fría y caliente.
Ofrece excelente resistencia a la presión, la corrosión y las altas temperaturas, garantizando un desempeño seguro y duradero. 
Ideal para instalaciones domiciliarias e industriales, es de fácil instalación, bajo mantenimiento y larga vida útil, asegurando un correcto funcionamiento de la red de distribución de agua.

CONTAMOS CON TODA LA LINEA(1/2"", 3/4"", 1"") Y ACCESORIOS PARA SU INSTALACIÓN!
POR MEDIDAS SUPERIORES CONSULTAR.","""NULL""","""1""","""6-mts""","""FOTO 6.webp"""
"""Caño polipropileno aprobado 1""","""Polipropileno""","Caño de polipropileno aprobado, diámetro 1"", fabricado en material de alta calidad, apto para instalaciones de agua fría y caliente.
Ofrece excelente resistencia a la presión, la corrosión y las altas temperaturas, garantizando un desempeño seguro y duradero. 
Ideal para instalaciones domiciliarias e industriales, es de fácil instalación, bajo mantenimiento y larga vida útil, asegurando un correcto funcionamiento de la red de distribución de agua.

CONTAMOS CON TODA LA LINEA(1/2"", 3/4"", 1"") Y ACCESORIOS PARA SU INSTALACIÓN!
POR MEDIDAS SUPERIORES CONSULTAR.","""NULL""","""1""","""6-mts""","""FOTO 6.webp"""
